"Aasta","Vanuserühm","Suht vaesus","Abs vaesus"
"1997","18-24",..,28.1
"1997","18-64",..,26.7
"1997","65+",..,35.3
"1998","18-24",..,23.5
"1998","18-64",..,23.3
"1998","65+",..,34.0
"1999","18-24",..,25.8
"1999","18-64",..,23.0
"1999","65+",..,15.5
"2000","18-24",21.5,25.0
"2000","18-64",17.6,21.8
"2000","65+",16.0,17.7
"2001","18-24",19.9,21.6
"2001","18-64",17.8,21.3
"2001","65+",18.1,20.1
"2002","18-24",20.2,20.7
"2002","18-64",18.2,19.3
"2002","65+",15.8,14.0
"2003","18-24",19.8,16.6
"2003","18-64",18.0,15.8
"2003","65+",16.7,7.8
"2004","18-24",17.1,16.0
"2004","18-64",16.8,14.3
"2004","65+",20.3,6.2
"2005","18-24",16.9,10.4
"2005","18-64",16.0,9.8
"2005","65+",25.1,3.8
"2006","18-24",17.4,8.0
"2006","18-64",16.1,7.1
"2006","65+",33.1,3.2
"2007","18-24",15.3,6.1
"2007","18-64",15.0,5.1
"2007","65+",39.0,1.6
"2008","18-24",15.6,5.6
"2008","18-64",15.8,5.0
"2008","65+",33.9,1.2
"2009","18-24",18.7,7.7
"2009","18-64",15.6,6.7
"2009","65+",15.1,0.9
"2010","18-24",22.4,12.8
"2010","18-64",18.0,9.9
"2010","65+",13.1,1.1
"2011","18-24",20.9,13.8
"2011","18-64",17.7,9.5
"2011","65+",17.2,1.6
"2012","18-24",21.4,11.3
"2012","18-64",17.3,8.1
"2012","65+",24.4,2.0
"2013","18-24",18.2,9.6
"2013","18-64",19.4,8.6
"2013","65+",32.6,2.1
"2014","18-24",19.5,9.4
"2014","18-64",17.9,6.9
"2014","65+",35.8,1.3
"2015","18-24",18.8,6.5
"2015","18-64",17.1,4.9
"2015","65+",40.2,1.3
"2016","18-24",22.3,7.1
"2016","18-64",16.2,3.9
"2016","65+",41.2,0.8
"2017","18-24",22.0,6.3
"2017","18-64",16.4,3.5
"2017","65+",46.4,..
"2018","18-24",19.1,5.3
"2018","18-64",16.1,3.0
"2018","65+",43.7,..
"2019","18-24",23.3,5.8
"2019","18-64",15.8,2.9
"2019","65+",41.4,..
"2020","18-24",21.9,4.0
"2020","18-64",15.6,2.7
"2020","65+",40.6,..
"2021","18-24",24.4,2.8
"2021","18-64",16.0,1.9
"2021","65+",52.3,..
"2022","18-24",..,..
"2022","18-64",..,..
"2022","65+",..,..
